abbreviation	full name	smiles
norcoronamic acid	norcoronamic acid	
anthanillic acid	anthranilic acid	
aspartic acid branched	aspartic acid branched	
salicylic acid	salicylic acid	
leucine	leucine	
N-dimethylglycine	N-dimethylglycine	
cysteine	cysteine	
1-pyrroline-5-carboxylic acid	1-pyrroline-5-carboxylic acid	
5-methoxytyrosine	5-methoxytyrosine	
6,7-dichlorotryptophan	6,7-dichlorotryptophan	
tryptophan	tryptophan	
4-chlorobenzoic acid	4-chlorobenzoic acid	
4S-acetyl-5S-methylproline	4S-acetyl-5S-methylproline	
6-chlorotryptophan	6-chlorotryptophan	
3-methylaspartic acid	3-methylaspartic acid	
D-allo-threonine	D-allo-threonine	
2S-amino-8-oxodecanoic acid	2S-amino-8-oxodecanoic acid	
N-(1-methyl)-tryptophan	N-(1-methyl)-tryptophan	
3S-hydroxyasparagine	3S-hydroxyasparagine	
2-ketoisovaleric acid	2-ketoisovaleric acid	
cinnamic acid	cinnamic acid	
R-beta-hydroxyphenylalanine	R-beta-hydroxyphenylalanine	
3S-methylaspartic acid	3S-methylaspartic acid	
glutamine	glutamine	
2-ketobutyric acid	2-ketobutyric acid	
4S-methylproline	4S-methylproline	
azetidine-2-carboxylic acid	azetidine-2-carboxylic acid	
3-amino-6-hydroxy-2-piperidone	3-amino-6-hydroxy-2-piperidone	
R-beta-hydroxytyrosine	R-beta-hydroxytyrosine	
3-hydroxyglutamine	3-hydroxyglutamine	
2-ketoglutaric acid	2-ketoglutaric acid	
alpha-methylphenylalanine	alpha-methylphenylalanine	
D-alpha-aminobutyric acid	D-2-aminobutyric acid	
hydrocinnamic acid	hydrocinnamic acid	
D-2,3-diaminopropionic acid	D-2,3-diaminopropionic acid	
pipecolic acid	pipecolic acid	
3-methoxyanthranilic acid	3-methoxyanthranilic acid	
2-amino-decanoic acid	2S-aminodecanoic acid	
(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	
isoleucine	isoleucine	
3R-hydroxyleucine	3R-hydroxyleucine	
4-chlorothreonine	4-chlorothreonine	
D-alanine	D-alanine	
3-methoxyaspartic acid	3-methoxyaspartic acid	
pyruvic acid	pyruvic acid	
S-adenosylmethionine	S-adenosylmethionine	
octanoic acid	octanoic acid	
glycolic acid	glycolic acid	
N-formylalanine	N-formylalanine	
4-hydroxybenzoic acid	4-hydroxybenzoic acid	
linoleic acid	linoleic acid	
5-methylorsellinic acid	5-methylorsellinic acid	
D-phenylalanine	D-phenylalanine	
3R-methylglutamic acid	3R-methylglutamic acid	
ornithine	ornithine	
N5-trans-anhydromevalonyl-N5-hydroxyornithine	N5-trans-anhydromevalonyl-N5-hydroxyornithine	
2S-amino-9,10-epoxy-8-oxodecanoic acid	2S-amino-9,10-epoxy-8-oxodecanoic acid	
beta-hydroxytyrosine	beta-hydroxytyrosine	
alaninol	alaninol	
3S-carboxypiperazine	piperazic acid	
4-methylphenylalanine	4-methylphenylalanine	
S-beta-hydroxyenduracididine	S-beta-hydroxyenduracididine	
cysteine branched	cysteine branched	
4-nitrotryptophan	4-nitrotryptophan	
homoserine	homoserine	
cysteic acid	cysteic acid	
dehydrophenylalanine	dehydrophenylalanine	
4-hydroxyphenylglycine	4-hydroxyphenylglycine	
2-aminoadipic acid	2-aminoadipic acid	
1-(1,1-dimethylallyl)-tryptophan	1-(1,1-dimethylallyl)-tryptophan	
2-amino-3-hydroxycyclopent-2-enone	2-amino-3-hydroxycyclopent-2-enone	
2-chloro-3,5-dihydroxy-4-methylphenylglycine	2-chloro-3,5-dihydroxy-4-methylphenylglycine	
3-amino-4-hydroxybenzoic acid	3-amino-4-hydroxybenzoic acid	
2,3-dihydroxyhexadecanoic acid	2,3-dihydroxyhexadecanoic acid	
3R-chloroproline	3R-chloroproline	
beta-hydroxyarginine	beta-hydroxyarginine	
5-chloroanthranilic acid	5-chloroanthranilic acid	
2S-hydroxyisocaproic acid	2S-hydroxyisocaproic acid	
3-hydroxyvaline	3-hydroxyvaline	
4-hydroxy-3-nitrobenzoic acid	4-hydroxy-3-nitrobenzoic acid	
4-hydroxyphenylpyruvic acid	4-hydroxyphenylpyruvic acid	
meta-tyrosine	meta-tyrosine	
6-methylsalicylic acid	6-methylsalicylic acid	
5-chlorotryptophan	5-chlorotryptophan	
3-fluorophenylalanine	3-fluorophenylalanine	
3-aminobenzoic acid	3-aminobenzoic acid	
methionine	methionine	
dehydrolysine	dehydrolysine	
2S-amino decanoic acid	2S-aminodecanoic acid	
2S-methyl-3-oxobutyrine	2S-methyl-3-oxobutyrine	
acetic acid	acetic acid	
dehydroarginine	dehydroarginine	
D-tyrosine	D-tyrosine	
1-aminocyclopropane-1-carboxylic acid	1-aminocyclopropane-1-carboxylic acid	
4,5-dehydroleucine	4,5-dehydroleucine	
2-octenoic acid	2-octenoic acid	
3S-cyclohex-2-enylalanine	3S-cyclohex-2-enylalanine	
phenylalanine	phenylalanine	
3-amino-2,4-dihydroxybenzoic acid	3-amino-2,4-dihydroxybenzoic acid	
3S,4S-dihydroxyhomotyrosine	3S,4S-dihydroxyhomotyrosine	
3R-methylbeta-alanine	3R-methylbeta-alanine	
2,3-dihydroxy-para-aminobenzoic acid	2,3-dihydroxy-para-aminobenzoic acid	
O-methylthreonine	O-methylthreonine	
3-hydroxy-para-aminobenzoic acid	3-hydroxy-para-aminobenzoic acid	
3S-hydroxy-6-chlorohistidine	3S-hydroxy-6-chlorohistidine	
kynurenine	kynurenine	
(S)-2-aminodecanoic acid	2S-aminodecanoic acid	
beta-alanine	beta-alanine	
4,5-dehydroarginine	4,5-dehydroarginine	
tyrosine	tyrosine	
2S-amino-dodecanoic acid	2S-aminododecanoic acid	
4-chlorophenylalanine	4-chlorophenylalanine	
2R-hydroxy-3-methylpentanoic acid	2R-hydroxy-3-methylpentanoic acid	
3-hydroxy-4-methoxyphenylalanine	3-hydroxy-O-methyltyrosine	
3S-hydroxypipecolic acid	3S-hydroxypipecolic acid	
2S-amino-octanoic-acid	2S-aminooctanoic acid	
D-arginine	D-arginine	
4-fluorophenylalanine	4-fluorophenylalanine	
S-beta-tyrosine	S-beta-tyrosine	
allo-threonine	allo-threonine	
trans-2-crotylglycine	trans-2-crotylglycine	
E-butenyl-4R-methylthreonine	4R-E-butenyl-4R-methylthreonine	
dehydrovaline	dehydrovaline	
3S-aminobutyric acid	3S-aminobutyric acid	
pyrrole-2-carboxylic acid	pyrrole-2-carboxylic acid	
phenylglycine	phenylglycine	
Compound 4 (formed by the decarboxylative condensation of L-Phe and succinyl-CoA)	Compound 4 (formed by the decarboxylative condensation of L-Phe and succinyl-CoA)	
2S-amino-4-hexenoic acid	2S-amino-4-hexenoic acid	
R-beta-phenylalanine	R-beta-phenylalanine	
nicotinic acid	nicotinic acid	
