protein_id	domain	kingdom	phylum	class	order	family	genus	species	strain
ALK27914.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	DSM 11171
ALK27915.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	DSM 11171
ALK27916.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	DSM 11171
ALO65125.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Gelatoporiaceae	Gelatoporia	Gelatoporia subvermispora	B
ALO65126.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Gelatoporiaceae	Gelatoporia	Gelatoporia subvermispora	B
ALU98443.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces globisporus	C-1027
ALV82356.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces rochei	Sal35
ALV82384.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces rochei	Sal35
ALV82388.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces rochei	Sal35
ALV86866.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces canus	ATCC 12647
ALV86867.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces canus	ATCC 12647
ALV86868.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces canus	ATCC 12647
AMM63162.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans NRRL 8112	Unknown
AMM63166.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans NRRL 8112	Unknown
AMQ36132.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sp. YT-2016	Unknown
AMQ36134.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sp. YT-2016	Unknown
AMT84997.1	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	ZJ33
AND66115.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus terreus	SBUG844
ANH11404.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	SD85
ANH11405.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	SD85
ANH22643.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium robertsii	Unknown
ANI24100.1	Bacteria	Pseudomonadati	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Polyangium	Polyangium spumosum	Pl sm9
ANQ43347.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas synxantha	CR32
ANQ43348.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas synxantha	CR32
ANQ43349.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas synxantha	CR32
ANX99773.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	Heterobasidion annosum	Unknown
ANX99774.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula lacrymans	Unknown
ANX99775.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula lacrymans	Unknown
ANX99776.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis cinerea	Unknown
ANX99777.1	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis cinerea	Unknown
ANY57892.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium thymicola	Unknown
ANZ15839.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces noursei	ATCC 11455
ANZ15840.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces noursei	ATCC 11455
AOA33121.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	BW11P2
AOA33122.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	BW11P2
AOA33123.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	BW11P2
AOZ21316.1	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia acidicola	ATCC 31363
AOZ21320.1	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia acidicola	ATCC 31363
APD26279.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces pactum	SCSIO 02999
APU91750.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii	KACC10082
APU91751.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii	KACC10082
APZ78679.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	None	None	Cystobacterineae bacterium	CcG34
APZ78680.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	None	None	Cystobacterineae bacterium	CcG34
APZ78691.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	DSM 14724
APZ78692.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	DSM 14724
APZ78703.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	Hym-3
APZ78704.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	Hym-3
APZ78715.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	NOCb10
APZ78716.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Hyalangium	Hyalangium minutum	NOCb10
APZ78728.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus sp.	171
APZ78729.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus sp.	171
APZ78743.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus	HW-1
APZ78744.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus	HW-1
APZ78755.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Pseudomyxococcus	Pseudomyxococcus hansupus	mixupus
APZ78756.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Pseudomyxococcus	Pseudomyxococcus hansupus	mixupus
APZ78768.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK 1622
APZ78769.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK 1622
APZ78781.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK897
APZ78782.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK897
APZ78794.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	A47
APZ78795.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	A47
APZ78808.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	Mx48
APZ78809.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	Mx48
APZ78821.1|CAG29031.1|Q50JA3	Bacteria	Pseudomonadati	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Unknown
APZ78822.1|CAG29032.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Unknown
APZ78833.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a15
APZ78834.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a15
APZ78845.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a32
APZ78846.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a32
APZ78855.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella erecta	Pde77
APZ78856.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella erecta	Pde77
AQH32481.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp.	CENA161
AQH32484.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp.	CENA161
AQH32485.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp.	CENA161
AQH32486.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp.	CENA161
AQM37583.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus virescens	ST200611
AQM37584.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus virescens	ST200611
AQM58286.1	None	None	None	None	None	None	None	Shuttle vector AtFAC9J20	Unknown
AQV04224.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	None	Chaetothyriaceae sp.	Unknown
AQV04230.1	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria oxytropis	Unknown
AQX36215.1|sp_A0A248AFK6.1_NPS2_CERS8	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Gelatoporiaceae	Gelatoporia	Gelatoporia subvermispora	B
AQZ26587.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	ATCC 39502
AQZ42163.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	None	Gliocladium	Gliocladium sp.	XZC04-CC-302
AQZ69227.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea parvosata subsp. kistnae	ATCC 55076
AQZ69228.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea parvosata subsp. kistnae	ATCC 55076
AQZ69229.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea parvosata subsp. kistnae	ATCC 55076
AQZ71347.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea parvosata subsp. kistnae	ATCC 55076
ARB50206.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps africana	Cla9
ARB50207.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps africana	Cla9
ARO38317.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena producens	JHB
ARP51711.1	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	Phyllosticta cirsii	Unknown
ARR97036.1	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon sp.	B060
ARR97038.1	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon sp.	B060
ARR97039.1	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon sp.	B060
ARU08063.1	Bacteria	None	None	None	None	None	None	uncultured bacterium	Unknown
ARU08073.1	Bacteria	None	None	None	None	None	None	uncultured bacterium	Unknown
ARU08074.1	Bacteria	None	None	None	None	None	None	uncultured bacterium	Unknown
ARU08075.1	Bacteria	None	None	None	None	None	None	uncultured bacterium	Unknown
ASX95241.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces atratus	SCSIO ZH16
ATD05719.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas piscicida	JCM 20779
ATD05720.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas piscicida	JCM 20779
