protein_id	domain	kingdom	phylum	class	order	family	genus	species	strain
A05163	Eukaryota	Metazoa	Chordata	Craniata	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus scorpius	Unknown
A0FCL0	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger	Unknown
A45086	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris zeicola	Unknown
A6P624	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	K-139
A8BB73	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	Lysobacter enzymogenes	C3
A8KCJ2	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Caldimonas	Caldimonas brevitalea	DSM 7029
AAA03914.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Unknown
AAA25234.1	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei	Unknown
AAA27636.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	Ye 8081
AAA33023.2	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris zeicola	SB111
AAA34747.1	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	S288C
AAA63415.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum	ASP-78
AAA92015.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Unknown
AAA93464.1|Q56950	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	Unknown
AAB00093.1|Q45563	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB39900.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Unknown
AAB60198.1|Q51338	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAB80955.2|O30980	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB80956.1|O30981	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB93493.1	Eukaryota	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis	Unknown
AAC05774.1|Q53526.4	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans UA159	Unknown
AAC06346.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	ATCC 10716
AAC06347.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	ATCC 10716
AAC06348.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	ATCC 10716
AAC36721.1|O87606	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAC44128.1|Q50857	Bacteria	Pseudomonadati	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	Unknown
AAC44129.1|Q50858	Bacteria	Pseudomonadati	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	Unknown
AAC44632.1|CAB15188.1|P40871.2	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis subsp. subtilis str.	168
AAC45929.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis	ATCC 8185
AAC68816.1|Q9ZGA6	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. MA6548	Unknown
AAC80285.1|O85168	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	Unknown
AAC82549.1|O87313	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis	Unknown
AAC82550.1|O87314	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis	Unknown
AAC83656.1|O85739	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAC83657.1|O85740	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAD04757.1|O66069	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Unknown
AAD04759.1|O66071	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Unknown
AAD44233.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	2151
AAD44234.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	2151
AAD50521.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	B301D
AAD55799.1|Q9RFM9	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAD56240.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	MR 168
AAF00957.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	PCC 7806
AAF00958.1|Q9RNB3	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa PCC 7806	Unknown
AAF00960.1|Q9RNB1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa PCC 7806	Unknown
AAF00961.1|Q9RNB0	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa PCC 7806	Unknown
AAF00962.1|Q9RNA9	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa PCC 7806	Unknown
AAF01762.1	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	M-71
AAF08795.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus spizizenii ATCC 6633 = JCM 2499	ATCC 6633
AAF08796.1|Q9R9J0.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus spizizenii ATCC 6633 = JCM 2499	ATCC 6633
AAF08797.1|Q9R9I9.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus spizizenii ATCC 6633 = JCM 2499	ATCC 6633
AAF15891.2|Q9RAH4	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp. GSV224	Unknown
AAF17280.1|Q9RAH2	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp. GSV224	Unknown
AAF17281.1|Q9RAH1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp. GSV224	Unknown
AAF19811.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	DW4/3-1
AAF19812.1|Q9RFK8	Bacteria	Pseudomonadati	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Unknown
AAF19815.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	DW4/3-1
AAF62881.1	Bacteria	Pseudomonadati	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum	SMP44
AAF86395.1|Q9KID8	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus subsp. ascomyceticus	Unknown
AAF99707.2|Q9FDB3	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	Unknown
AAG00564.1|Q9FDB2	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	Unknown
AAG00566.1|Q9FDB0	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	Unknown
AAG02355.1|Q9FB27	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG02356.1|Q9FB26	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG02358.1|Q9FB24	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG02359.1|Q9FB23	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG02364.1|Q9FB18	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG02365.1|Q9FB17	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces verticillus	Unknown
AAG05812.1|Q9I157	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAG06715.1|NP_252017.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAO1
AAG31128.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a15
AAG31130.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Sg a15
AAK21902.1|Q9C1G0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Kallichroma	Kallichroma tethys	Unknown
AAK46746.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	CDC1551
AAK57184.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca	Unknown
AAK76230.1	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae TIGR4	TIGR4; ATCC BAA-334
AAK81824.1|Q93N89	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae	Unknown
AAK81825.1|Q93N88	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae	Unknown
AAK81826.1|Q93N87	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae	Unknown
AAK81827.1|Q93N86	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae	Unknown
AAL33756.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	A2-2
AAL33757.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	A2-2
AAL33758.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	A2-2
AAL82383.1|Q8RTG4	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	Unknown
AAM78457.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma virens	Unknown
AAM80536.1|Q8KLL6	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces toyocaensis	Unknown
AAM80537.1|Q8KLL5	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces toyocaensis	Unknown
AAM80538.1|Q8KLL4	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces toyocaensis	Unknown
AAM80539.1|Q8KLL3	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces toyocaensis	Unknown
AAN00653.1	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	2603V/R
AAN07012.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	ATTCAU195
AAN07013.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	ATTCAU195
AAN07014.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	ATTCAU195
AAN32978.1|Q8GAQ6	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	Unknown
AAN32981.1|Q8GAQ3	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	Unknown
AAN42148.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri 2a str.	301
AAN74813.2	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi var. moniliformis	M-3125
AAN85522.1|Q8GGP3	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces atroolivaceus	Unknown
AAN85530.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces atroolivaceus	Unknown
AAO07759.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	CMCP6
AAO07763.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	CMCP6
AAO23333.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp.	ATCC 53789
AAO23334.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp.	ATCC 53789
AAO55665.1|Q884E5	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. tomato	Unknown
AAO55666.1|Q884E4	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. tomato	Unknown
AAO55667.1|Q884E3	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. tomato	Unknown
AAO56328.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. tomato str.	DC3000
AAO56329.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. tomato str.	DC3000
AAO62582.1|Q7WRI6	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	Unknown
AAO62585.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	Unknown
AAO62586.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	Unknown
AAO62587.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	Unknown
AAO62588.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	Unknown
AAO64403.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	Nodularia	Nodularia spumigena	NSOR10
AAO69874.1|Q8Z8L1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica subsp. enterica serovar Typhi	Unknown
AAO72424.1|Q83VS1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	Unknown
AAO72425.1|Q83VS0	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	Unknown
AAO92378.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum	Unknown
AAP56239.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Unknown
AAP92491.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces vinaceus	ATCC 11861
AAP92505.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces vinaceus	ATCC 11861
AAQ82561.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. FR-008	Unknown
AAQ93484.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas savastanoi pv. glycinea	PG4180
AAS47562.1	Bacteria	None	None	None	None	None	None	symbiont bacterium of Paederus fuscipes	Unknown
AAS47564.1	Bacteria	None	None	None	None	None	None	symbiont bacterium of Paederus fuscipes	Unknown
AAS92545.1	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus lingam	Unknown
AAS98786.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	JHB
AAT01806.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis	MC2 155
AAT01807.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis	MC2 155
AAT09804.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia uniformis subsp. tsuyamanensis	ATCC 21806
AAT09805.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia uniformis subsp. tsuyamanensis	ATCC 21806
AAT12283.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	Unknown
AAT28740.1	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium verticillioides	Unknown
AAT70101.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	19L
AAU22002.1|AAU39359.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis DSM 13 = ATCC 14580	DSM 13
AAU34202.1|Q643C7	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus	Unknown
AAU34203.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus	Unknown
AAU39360.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis DSM 13 = ATCC 14580	DSM 13
AAV66110.2	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium heterosporum	ATCC 74349
AAV97877.1	Bacteria	None	None	None	None	None	None	symbiont bacterium of Theonella swinhoei	Unknown
AAW03307.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	Unknown
AAW03326.1	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Cystobacter	Cystobacter fuscus	Unknown
AAX16296.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	10-15
AAX16297.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	10-15
AAX16325.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	206-12
AAX16327.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	206-12
AAX31557.1|Q50E74	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces filamentosus	Unknown
AAX31558.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces filamentosus	NRRL 11379
AAX31559.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces filamentosus	NRRL 11379
AAX73195.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	PCC 7820
AAY29578.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus texasporus	ATCC PTA-5854
AAY29580.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus texasporus	ATCC PTA-5854
AAY37647.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	B728a
AAY37650.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae pv. syringae	B728a
AAY42397.1|Q1EDB1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	Unknown
AAY42398.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Lyngbya	Lyngbya majuscula	Unknown
AAY89051.1|Q2N3S9	Bacteria	Pseudomonadati	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	Unknown
AAY91419.3	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY91420.2	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY91421.3	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY93354.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY93355.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY93356.2	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAY93445.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pf-5
AAZ03550.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis sp.	NIVA-CYA 172/5
AAZ03551.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis sp.	NIVA-CYA 172/5
AAZ03552.1	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis sp.	NIVA-CYA 172/5
